PC1,PC2,Cluster,Churn
-0.10806660362573106,-0.6663665869658635,1,0
-0.4831159248625887,-1.033690295527984,3,0
-0.9659037438548701,0.07133630125564261,1,0
0.6316698012962947,0.002833487662473988,1,0
-1.4404572368406874,-1.599952040481117,1,0
1.8298636374530775,1.3774909839805372,2,0
-3.2850977108669297,0.635531243476,0,0
0.16448439039484342,-0.3449815669367817,1,0
0.9435124615049804,0.6962562222733524,2,0
1.6839927456300703,0.8867230046859031,2,0
-0.9137460325223932,-1.1767836477180034,1,0
-1.1779523317947698,-1.2901882037703174,1,0
-1.5178338622254488,-1.6539842544186147,1,0
0.34412328520605445,0.14461814543095391,1,0
1.5220595204897327,-0.903093538129597,3,0
0.872889665801228,0.12861968467742796,2,0
0.7937536807002088,-0.926865317660448,3,0
-0.47994808676446366,-1.0518907868028753,1,0
-2.9636325767497937,1.4042048796609303,0,0
-3.1983013045786044,0.7461222306082718,0,0
0.9722050766167787,-0.7788825300521425,3,0
-1.6154935536766493,2.1847391366945685,0,0
3.27159378544019,1.9769590707126423,2,0
-0.8065497967568018,-0.9019556845046639,1,0
1.1303249607074457,-0.22370513508323098,3,0
-3.4117270339626615,0.5980141964388209,0,1
-0.3436943928369205,-2.276656443802973,3,1
-0.8168053172062579,-2.504449381883888,3,1
1.0251277351060397,-1.2736910702065338,3,0
0.14269847728942947,-1.9280495593418514,3,1
2.373873156310143,1.857908120766469,2,0
-0.37012168425304776,-2.44209899201907,3,1
-2.6317520883730086,1.5453015268488501,0,1
-2.46319829057424,1.5460211104950687,0,0
-1.9211901553563726,2.6850298221577047,0,0
2.506291118324323,0.08284048773675518,2,1
-0.5924997526237411,-2.2888077626544465,3,0
0.6009542430267236,-1.5957306137860081,3,0
-0.9076970232731916,-1.7768551911203778,1,0
2.2022651790452112,0.3981343553574309,2,0
1.8711379600305154,-0.003908485621353319,2,0
1.5241256587335483,-0.5719051853470343,3,0
-3.3110227485922796,1.0797267808984112,0,0
0.8595594460166658,-1.4782747944703303,3,1
-1.1781787482750699,-1.0996098008795825,1,0
0.6126463025140516,-0.5579582326680232,1,1
-0.14681106905684482,0.18525537288307106,1,0
-3.229994666467436,0.9338950737108773,0,0
-0.5086508924384843,-1.8230828341100829,3,1
2.251031799949043,0.5654491013723626,2,0
-1.3450473098456228,-1.797535574759164,1,0
1.5697496244385671,-0.9574282686022255,3,1
2.2991442599542578,0.36967886121357013,2,0
1.052383423113313,-1.498032490180723,3,1
0.3252598547790575,-0.7971650608473291,1,0
-2.7078609545719146,1.7038368902437577,0,0
1.2657895739980647,0.9082383480861408,2,0
2.482215411338782,1.8851162411738076,2,0
-3.2180598387689527,0.9608775273881819,0,1
-2.217477500513227,1.97332041392725,0,0
0.5243405108915569,-1.773998020184717,3,1
2.5005636177223223,0.934091421409487,2,0
1.1182168146572264,-0.5348835396252984,3,1
0.9491934236421553,-1.4885627007702191,3,1
1.5473248017034893,-1.1875470122986034,3,1
0.5724709890965354,-0.7779934483751676,3,0
-2.0402051561059484,2.223984368408564,0,0
-0.004709558180953144,-1.8180567695504848,3,1
1.3544576962582033,-0.3961185812663258,2,0
2.5971987115197233,2.1210980654374474,2,0
-1.5796384332468612,2.4554444636136203,0,0
-0.3361558231296627,-2.188501415219384,3,1
-0.7661278653787356,-1.0824306135611865,1,0
-0.30139096548129535,-0.9794863758297261,1,0
1.12392553457264,0.3637638288029907,2,0
-0.5048531926154356,-0.57259523066216,1,0
-1.1153712967663378,-0.9143416672216256,1,1
0.17064112147807714,-2.073511179676662,3,1
-0.3080628142614217,-0.011710500949957126,1,0
1.0897072792987397,-0.4010734016651455,3,0
3.0572353781669737,1.0732781543131276,2,0
0.05880095846066913,-1.3369793121815001,3,0
0.8356872941478237,1.1520080397489405,2,0
1.5254611772332725,1.2145458436577363,2,0
-0.335069474811582,-0.03764035014943651,1,0
1.27381179567253,-0.4843411460397645,3,0
-1.4882657077623833,3.100077212904048,0,0
-0.05877662558335092,-0.5178394575364921,1,0
1.7846689735796593,1.1378916540636856,2,0
0.3365736752862564,0.486681325507403,1,0
1.484487683369814,0.6722813837470039,2,0
1.414633788267402,-1.1288274935794664,3,1
-0.37462709082045975,-2.09367724685485,3,1
-0.6040012271291,-1.8198145835905197,3,0
-3.2692518865460642,0.8865749744390508,0,0
2.529955985619463,1.7073643149959872,2,0
-1.0377141982475904,-0.9916361611305435,1,0
1.5588750791812636,-0.2008947558709946,2,0
-3.415398224904012,0.60198088460266,0,0
-3.235460268244068,0.4104989610468979,0,0
1.6010138515806152,0.5785004638048814,2,0
2.393056530550754,0.03804808976558072,2,1
-3.0615552616668675,0.8254622075640616,0,0
